Job Title,Job Title Generic Description,Request Name,Request Name Description,Department,# of Volunteers,Gender Preference,Skills/Keywords,Add'l Skills,Languages
Guiding Visitors,"Assisting visitors by providing information about exhibits, facilities, and services. Guiding tours, explaining historical or cultural significance, and ensuring a positive visitor experience. Answering questions, facilitating engagement, and maintaining a welcoming and informative environment for all visitors.",Bangalore Temple - Guiding Visitors - 2817,"Information Center - Co-ordinator day to day activities 

Attending the queries in reception counter, Guiding people

Good communication skill, handling various kind of situations",Bangalore Temple,2,Any,Soft Skills / Soft-spoken and cordial,,Kannada English (US) Hindi / हिंदी
Guiding Visitors,"Assisting visitors by providing information about exhibits, facilities, and services. Guiding tours, explaining historical or cultural significance, and ensuring a positive visitor experience. Answering questions, facilitating engagement, and maintaining a welcoming and informative environment for all visitors.",IPC - Chennai & Kerala - Guiding Visitors - 2879,"IPC Kerala - ""Meeting guests, Coordinating in Ashram visit on individual level / in a group, Influencers(On Weekends)
Phone activity, Registration and calling, Backend for Promotions for Kerala Region""",Isha Programs and Communications / IPC - Chennai & Kerala,1,Any,Soft Skills / Articulate in communication,Basic Computer Skills / Data Entry skills Soft Skills / Fit for Physical Seva Soft Skills / Soft-spoken and cordial,Malayalam English (US)
Gujarati Translator,"Fluently translating written and spoken content from Gujarati to English and vice versa. Ensuring accuracy, cultural sensitivity, and maintaining the original meaning. Providing clear communication and bridging language gaps for effective understanding between Gujarati and English speakers.",Indian Language Publications - Gujarati Translator - 2425,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,3,Any,Media and Communication / Copywriter,,English (UK) Gujarati / ગુજરાતી
Hindi Teacher,"Teaching Hindi language and literature to students of various proficiency levels. Developing lesson plans, delivering engaging lectures, and assessing student progress. Incorporating cultural elements, language skills, and educational tools to enhance Hindi language comprehension and fluency.",Middle School - Hindi Teacher - 2600,"""* Teach students the Hindi language and share information on Hindi culture.
* Instill a sense of appreciation for poetry and literature in students.
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,1,Any,Education / Hindi Teacher,,English (UK) Hindi / हिंदी
Hindi Translator,"Translating written and spoken content from Hindi to English and vice versa accurately. Ensuring cultural nuances are preserved and maintaining the original meaning. Providing clear and precise translations for various purposes such as documents, articles, or verbal communication to facilitate effective understanding between Hindi and English speakers.",Indian Language Publications - Hindi Translator - 2395,"Translation of books, videos, articles",Indian Language Publications,3,Any,Media and Communication / Content Writer,,Hindi / हिंदी English (UK)
Hindi Translator,"Translating written and spoken content from Hindi to English and vice versa accurately. Ensuring cultural nuances are preserved and maintaining the original meaning. Providing clear and precise translations for various purposes such as documents, articles, or verbal communication to facilitate effective understanding between Hindi and English speakers.",Sadhanapada - Hindi Translator - 2866,Programs Team - Requirement,Sadhanapada,1,Any,Media and Communication / Translator,,
History teacher,"Educating students on historical events, figures, and concepts through engaging lesson plans. Utilizing various teaching methods to promote critical thinking, analysis, and understanding of historical significance. Encouraging student participation, research, and fostering an appreciation for the complexities and impact of history.",Senior School - IHS - History teacher - 2603,"* Plan lessons and develop curricula aligned to the prescribed syllabus
* Foster critical thinking, analytical skills, and civic engagement by encouraging students to analyze primary and secondary sources, evaluate evidence, and formulate well-reasoned arguments and opinions.
* Provide students with a broad understanding of historical events, political systems, economic principles, and their interconnectedness within local, national, and global contexts.
* Create a supportive and inclusive classroom environment that promotes respect for diverse perspectives, encourages open dialogue, and cultivates empathy and understanding for different cultures, societies, and viewpoints.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as historical documents, political speeches, economic data, and online databases, to enhance instruction, engage students, and facilitate inquiry-based learning.
* Assess student learning and progress through a variety of formative and summative assessments, including essays, projects, presentations, quizzes, tests, and discussions.
* Provide timely and constructive feedback to students to help them improve their writing, critical thinking, and analytical skills
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,2,Any,Education / History Teacher Education / Political Science Teacher,,
History teacher,"Educating students on historical events, figures, and concepts through engaging lesson plans. Utilizing various teaching methods to promote critical thinking, analysis, and understanding of historical significance. Encouraging student participation, research, and fostering an appreciation for the complexities and impact of history.",Isha Home School - History teacher - 2767,"Senior School - Humanities Teacher (Secondary / Classes 8, 9 & 10)
""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Foster critical thinking, analytical skills, and civic engagement by encouraging students to analyze primary and secondary sources, evaluate evidence, and formulate well-reasoned arguments and opinions.
* Provide students with a broad understanding of historical events, political systems, economic principles, and their interconnectedness within local, national, and global contexts.
* Create a supportive and inclusive classroom environment that promotes respect for diverse perspectives, encourages open dialogue, and cultivates empathy and understanding for different cultures, societies, and viewpoints.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as historical documents, political speeches, economic data, and online databases, to enhance instruction, engage students, and facilitate inquiry-based learning.
* Assess student learning and progress through a variety of formative and summative assessments, including essays, projects, presentations, quizzes, tests, and discussions.
* Provide timely and constructive feedback to students to help them improve their writing, critical thinking, and analytical skills
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School,1,Any,Education / History Teacher,,
Hotel Management,"Overseeing daily operations of a hotel, including guest services, housekeeping, and facilities management. Managing staff, ensuring high standards of customer service, and maximizing occupancy rates. Handling reservations, budgets, and marketing strategies to enhance the overall guest experience and maintain a profitable establishment.",Sadhanapada - Hotel Management - 2718,Accommodations - Prior education and/ or work experience in the field of Hotel Management,Sadhanapada,4,Any,General / Hospitality/ Hotel Manager,Soft Skills / Articulate in communication Soft Skills / Fit for Physical Seva Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Illustrator,"Creating visual concepts and designs through hand-drawing or digital tools to communicate ideas and messages. Developing illustrations for various purposes such as books, advertisements, websites, or products. Collaborating with clients and coworkers to capture their vision and create captivating and impactful visuals.",Isha Impressions - Illustrator - 2407,"· Proven work experience as an Illustrator
· Demonstrable portfolio of completed illustrations
· Solid knowledge of image editing and digital sketching software, like Photoshop, Adobe Illustrator or Procreate
· Drawing skills with an attention to detail (both by hand and digital pen)
· Strong aesthetic and conceptual skills
· Ability to collaborate and meet deadlines
· to be able to work to a brief, solve problems creatively and adapt their style
· creativity and imagination",Isha Impressions,4,Any,Arts and Crafts / Illustrator,,English (UK)
Illustrator,"Creating visual concepts and designs through hand-drawing or digital tools to communicate ideas and messages. Developing illustrations for various purposes such as books, advertisements, websites, or products. Collaborating with clients and coworkers to capture their vision and create captivating and impactful visuals.",Construction - LSP - Illustrator - 2463,Support illustration related to construction aesthetics,Construction - LSP,1,Any,Arts and Crafts / Painter,,
Illustrator,"Creating visual concepts and designs through hand-drawing or digital tools to communicate ideas and messages. Developing illustrations for various purposes such as books, advertisements, websites, or products. Collaborating with clients and coworkers to capture their vision and create captivating and impactful visuals.",Isha Impressions - Illustrator - 2597,"· Proven work experience as an Illustrator with Animation skills. 
· Demonstrable portfolio of completed projects.
· Solid knowledge of image editing and digital sketching software, like After Effects, Photoshop or Procreate
· Drawing skills with an attention to detail (both by hand and digital pen)
· Strong aesthetic and conceptual skills
· Ability to collaborate and meet deadlines
· to be able to work to a brief, solve problems creatively and adapt their style
· creativity and imagination",Isha Impressions,2,Any,Arts and Crafts / Digital Animator Arts and Crafts / Illustrator,Arts and Crafts / Digital Animator,English (UK)
Indonesian Translator,"Fluently translating written and verbal content from Indonesian to English and vice versa. Ensuring accuracy, cultural sensitivity, and maintaining the original message. Providing clear and concise translations for a wide range of materials, facilitating effective communication between Indonesian and English speakers.",Global Languages Publications - Indonesian Translator - 2261,"Indonesian Support CoordinatorAssigns tasks to volunteers and makes sure that all the tasks are completed on time.
Indonesian TranslatorTranslation of text, creatives (text+image) and videos.
Indonesian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Indonesian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,4,Any,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator) Arts and Crafts / Video Editor,Indonesian / Bahasa Indonesia
IT Hardware engineer,"Designing, testing, and implementing computer hardware components and systems. Troubleshooting and diagnosing hardware issues, conducting repairs, and ensuring optimal performance. Collaborating with software engineers and IT professionals to integrate hardware solutions, upgrade systems, and enhance overall functionality and efficiency.",Sadhanapada - IT Hardware engineer - 2739,"Indian Applications - Analytical skills, should be able to brainstorm and come up with solutions involving app sheets and app scripts, coding knowledge is helpful, should be abel to identify bugs in system and able to communicate effectively with the tech team, Since we are dealing with huge number of applications and sadhaka processes, the bugs and issues are a constant part of the activities.",Sadhanapada,1,Any,Engineering / Computer Science Engineer,IT / Data Analyst IT / IT - Others IT / Python Developer,
IT Hardware engineer,"Designing, testing, and implementing computer hardware components and systems. Troubleshooting and diagnosing hardware issues, conducting repairs, and ensuring optimal performance. Collaborating with software engineers and IT professionals to integrate hardware solutions, upgrade systems, and enhance overall functionality and efficiency.",IT - Infrastructure - IT Hardware engineer - 2801,"*Able to handle Hardware & Software issues of Desktops / Laptops. 
*Able to handle MAC is also welcome
*People with HW or relevant certification in Desktop support & repair will be good.",IT / IT - Infrastructure,5,Any,IT / IT - Others,,
Italian Translator,"Translating written and spoken content accurately between Italian and English languages. Preserving cultural nuances and meanings while ensuring clarity and coherence in translation. Providing high-quality translations for a variety of documents, texts, and materials to facilitate effective communication between Italian and English speakers.",Global Languages Publications - Italian Translator - 2263,"Italian ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Italian Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,5,Any,Soft Skills / Articulate in communication,,Italian / Italiano
Japanese Translator,"Facilitating accurate translation of written and spoken content between Japanese and English languages. Preserving cultural nuances and context while ensuring clear and precise communication. Providing high-quality translations for various purposes, such as business documents, literature, or verbal conversations, to bridge language barriers and facilitate cross-cultural understanding.",Global Languages Publications - Japanese Translator - 2264,"Japanese Team Coordinator: Main POC between ashram admin team and the language team (remote volunteers outside of the ashram). Finds and onboards new volunteers. Team building, conducts meetings with the team. Conflict resolution within the team. Process design to optimize work.
Japanese Support Coordinator:Assigns tasks to volunteers and makes sure that all the tasks are completed on time.
Japanese Translator:Translation of text, creatives (text+image) and videos.
Japanese Proofreader:Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language
Japanese Video Editor:Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,5,Any,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator) Arts and Crafts / Video Editor,Japanese / 日本語
Kannada Translator,Effectively translating written and verbal content between Kannada and English languages while maintaining accuracy and cultural context. Providing clear and concise translations for a diverse range of materials to facilitate communication and understanding between Kannada and English speakers. Bridging language gaps and ensuring seamless exchange of information.,Indian Language Publications - Kannada Translator - 2420,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,3,Any,Media and Communication / Copywriter,,English (UK) Kannada
Korean Video Editor,"Editing and enhancing video content in Korean language with precision and creativity. Incorporating visual effects, transitions, and audio enhancements to produce high-quality videos. Collaborating with content creators to achieve desired outcomes and engaging storytelling. Ensuring seamless post-production processes for compelling Korean video content.",Global Languages Publications - Korean Video Editor - 2265,"Korean TranslatorTranslation of text, creatives (text+image) and videos.
Korean Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides",Global Languages Publications,3,Any,Soft Skills / Articulate in communication,Arts and Crafts / Video Editor,Korean (KR) / 한국어 (KR)
Library Support,"Providing assistance to library patrons, including locating materials, answering inquiries, and offering guidance on library resources. Managing circulation services, shelving books, and maintaining organization within the library. Supporting library programs, events, and promoting literacy initiatives to enhance the library experience for all users.",Isha Home School - Library Support - 2771,"* Administer and manage the library's circulation system, including issuing library cards, checking materials in and out, and maintaining accurate records.
* Assist in implementing library programs and activities",Isha Home School,1,Any,Office Assistant / Admin Assistant,,
Library Support,"Providing assistance to library patrons, including locating materials, answering inquiries, and offering guidance on library resources. Managing circulation services, shelving books, and maintaining organization within the library. Supporting library programs, events, and promoting literacy initiatives to enhance the library experience for all users.",Ashram Administration - Library Support - 2834,"Punctuality, critical thinking, time management, interpersonal skills, strong communication skills, customer service and organisational skills.",Ashram Administration,1,Any,Soft Skills / Articulate in communication,,English (UK) Tamil
Litigation Lawyer,"Specializing in representing clients in legal disputes and court proceedings. Conducting research, preparing legal documents, and offering legal advice. Presenting cases in court, negotiating settlements, and advocating on behalf of clients. Possessing strong analytical, communication, and advocacy skills to navigate complex legal matters.",Legal - Litigation Lawyer - 2789,Each person should have minimum 5-6 years experience,Legal,2,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills General / Lawyer,,English (UK) Tamil
Live Streaming Support,"Providing technical assistance and troubleshooting for live streaming platforms and events. Ensuring smooth operation of live streams, addressing viewer inquiries, and managing real-time feedback. Collaborating with production teams, monitoring stream quality, and optimizing viewer engagement for seamless and successful live streaming experiences.",Livestream - Live Streaming Support - 2596,"Computer skills, programming language - react, nginx, bash scripting, video",Livestream,2,Any,IT / Cloud Architect,Soft Skills / Articulate in communication,
Live Streaming Support,"Providing technical assistance and troubleshooting for live streaming platforms and events. Ensuring smooth operation of live streams, addressing viewer inquiries, and managing real-time feedback. Collaborating with production teams, monitoring stream quality, and optimizing viewer engagement for seamless and successful live streaming experiences.",Inner Engineering Online - Live Streaming Support - 2666,"Provide technical and operational support to ensure seamless delivery of live programs. Has prior experience in live video production, strong technical aptitude",Isha Programs and Communications / Inner Engineering Online,2,Any,IT / IT - Others,Arts and Crafts / Film Producer,
Live Streaming Support,"Providing technical assistance and troubleshooting for live streaming platforms and events. Ensuring smooth operation of live streams, addressing viewer inquiries, and managing real-time feedback. Collaborating with production teams, monitoring stream quality, and optimizing viewer engagement for seamless and successful live streaming experiences.",IPC - Tamil Nadu - Live Streaming Support - 2751,"Regularly, programs, events, and webinars are streamed from the Ashram for TNK regions. - Booking Halls - Facilitating Materials & Equipment requirements for Online Webinars\Programs. - Live Stream Production Setup and Streaming Support - Creating Technical Setup documents and training contents",Isha Programs and Communications / IPC - Tamil Nadu,1,Any,IT / IT - Others,Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Maintenance Activities,"Performing routine maintenance tasks to ensure the functionality and operational efficiency of equipment, machinery, or facilities. Conducting inspections, identifying issues, and carrying out repairs or replacements as needed. Following maintenance schedules, adhering to safety protocols, and documenting maintenance activities to uphold workplace safety and equipment reliability.",Maintenance - Maintenance Activities - 2324,"Management ,deployment ,operation and recording of daily work progress of Cleanland Road sweeping Machine which we use to clean various pathways in and around Ashram.",Maintenance,2,Male,Others / Cab Driver Basic Computer Skills / Data Entry skills,,
Maintenance Activities,"Performing routine maintenance tasks to ensure the functionality and operational efficiency of equipment, machinery, or facilities. Conducting inspections, identifying issues, and carrying out repairs or replacements as needed. Following maintenance schedules, adhering to safety protocols, and documenting maintenance activities to uphold workplace safety and equipment reliability.",Sadhanapada - Maintenance Activities - 2706,Health - To Maintain all the process flow regards to various appointmens in ashram clinic,Sadhanapada,1,Any,Corporate / Operations Manager,Soft Skills / Articulate in communication,
Maintenance Activities,"Performing routine maintenance tasks to ensure the functionality and operational efficiency of equipment, machinery, or facilities. Conducting inspections, identifying issues, and carrying out repairs or replacements as needed. Following maintenance schedules, adhering to safety protocols, and documenting maintenance activities to uphold workplace safety and equipment reliability.",Isha Home School - Maintenance Activities - 2765,"Campus Manager - Facilites
""* Survey the whole school to identify areas which need maintenance
* Work with Ashram maintenance team to schedule and prioritize requests
* Draw a schedule for regular maintenance of each area of the school""",Isha Home School,1,Any,Corporate / Manager - Others,,
Maintenance Activities,"Performing routine maintenance tasks to ensure the functionality and operational efficiency of equipment, machinery, or facilities. Conducting inspections, identifying issues, and carrying out repairs or replacements as needed. Following maintenance schedules, adhering to safety protocols, and documenting maintenance activities to uphold workplace safety and equipment reliability.",Bangalore Temple - Maintenance Activities - 2819,"Maintanance - Monitoring Maintenance activities
Organizing Store, Purchase & stock
Waste management monitoring 

Good with excel
Operating PC
Good Communication",Bangalore Temple,4,Any,Soft Skills / Strong Interpersonal skills (Coordinator),,Bengali / বাংলা Hindi / हिंदी English (US)
Maintenance Activities,"Performing routine maintenance tasks to ensure the functionality and operational efficiency of equipment, machinery, or facilities. Conducting inspections, identifying issues, and carrying out repairs or replacements as needed. Following maintenance schedules, adhering to safety protocols, and documenting maintenance activities to uphold workplace safety and equipment reliability.",Bangalore Temple - Maintenance Activities - 2822,"Plumbing - ""Organizing Store
Stock Maintenance""

""Good with excel
Operating PC
Good Communication""",Bangalore Temple,1,Any,Soft Skills / Articulate in communication,,Kannada Telugu / తెలుగు English (US)
Maintenance Activities,"Performing routine maintenance tasks to ensure the functionality and operational efficiency of equipment, machinery, or facilities. Conducting inspections, identifying issues, and carrying out repairs or replacements as needed. Following maintenance schedules, adhering to safety protocols, and documenting maintenance activities to uphold workplace safety and equipment reliability.",Bangalore Temple - Maintenance Activities - 2829,"Sadhanapada Program - Hall setup, attendance, etc",Bangalore Temple,2,Any,Soft Skills / Enthusiastic,,
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Waste Management - Maintenance Support - 2262,"stps daily key role activities,some datas collection and back office,accounts",Waste Management,2,Any,Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK) Hindi / हिंदी
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Halls Maintenance - Maintenance Support - 2277,"Maintenance Support in AYA , Spanda Hall , Chamundi and Velliangri Prashala.",Halls Maintenance,3,Male,General / Hospitality/ Hotel Manager,General / Inventory,False
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Vahanam - Maintenance Support - 2332,Maintaining records and job work activity,Vahanam,2,Any,Accounting / Basic Accountancy,,
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Isha Health Solutions - Maintenance Support - 2394,"To oversee, manage and coordinate the maintenance activities",Isha Health Solutions,1,Male,Others / Air Force,,
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Isha Health Solutions - Maintenance Support - 2398,Housekeeping managing experience,Isha Health Solutions,1,Any,Others / Air Force,,
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Laundry - Maintenance Support - 2595,"store ,laundry maintenance ,taking sevadhars attandence, washing &ironing support",Laundry,14,Male,Environment / Agriculture/ Farmer,,
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Temple - Linga Bhairavi - Maintenance Support - 2632,"Temple support such as taking care of daily ritual (kleshanashna kriya and Prahar valikku), general volunteer management, special occasion support (navratri, thaipusum and MSR) and daily temple maintenance and functioning support and facilitating Devi sevakas.",Temple - Linga Bhairavi,6,Male,Others / Army Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Basic Computer (MS Office and Email) Skills Basic Computer Skills / Data Entry skills Arts and Crafts / Video Editor,English (US) Tamil Hindi / हिंदी Telugu / తెలుగు
Maintenance Support,"Assisting maintenance personnel in performing routine tasks related to equipment, machinery, or facilities upkeep. Providing support in inspections, repairs, and maintenance activities as directed. Collaborating with maintenance team members, organizing tools and supplies, and ensuring a safe and efficient work environment.",Bangalore Temple - Maintenance Support - 2812,Accommodation - Housekeeping,Bangalore Temple,1,Any,Soft Skills / Articulate in communication,,
Malayalam Translator,Translating written and spoken content accurately between Malayalam and English languages. Preserving cultural nuances and context while ensuring clarity and coherence in translation. Providing precise translations for various materials to facilitate effective communication between Malayalam and English speakers.,Indian Language Publications - Malayalam Translator - 2423,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,3,Any,Media and Communication / Copywriter,,English (UK) Malayalam
Mandarin Chinese Translator,Precisely translating written and verbal content between Mandarin Chinese and English languages. Retaining cultural authenticity and context while ensuring clarity and accuracy in translation. Delivering high-quality translations for diverse materials to facilitate effective communication and mutual understanding between Mandarin Chinese and English speakers.,Global Languages Publications - Mandarin Chinese Translator - 2270,"Mandarin Chinese Support Coordinator(1)Assigns tasks to volunteers and makes sure that all the tasks are completed on time.
Mandarin Chinese Translator(1)Translation of text, creatives (text+image) and videos.
Mandarin Chinese Video Editor (1)Video editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides
Mandarin Chinese Proofreader (2)Final review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,5,Any,Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator),Chinese (Traditional) / 繁體中文
Marathi Translator,Accurately translating written and verbal content between Marathi and English languages. Maintaining cultural nuances and context while ensuring clarity and coherence in translations. Delivering high-quality translations for a variety of materials to facilitate effective communication between Marathi and English speakers.,Indian Language Publications - Marathi Translator - 2424,"Translation of Sadhguru videos, articles, and books.",Indian Language Publications,3,Any,Media and Communication / Copywriter,,English (UK) Marathi
Market Research,"Conduct research to analyze market trends, customer behavior, and competitive landscapes to provide actionable insights. Design surveys, gather data, and interpret findings to support strategic business decisions and marketing initiatives.",Emedia Operations - Market Research - 2552,"Help conduct quantitative & qualitative surveys to better understand our audience tp more effectively communicate and market our offerings.
the individual should have prior experience running market research / user behavior surveys using online and offline tools",E-Media Panel / Emedia Operations,1,Any,Emedia / Digital Marketing Corporate / Marketing & Branding Executive Corporate / Marketing & Branding Manager,,
Market Research,"Conduct research to analyze market trends, customer behavior, and competitive landscapes to provide actionable insights. Design surveys, gather data, and interpret findings to support strategic business decisions and marketing initiatives.",Isha Bhiksha - Market Research - 2641,"Market Research Executive: Conduct market research, data collection and analysis, program evaluation, identifying opportunities, present research findings, monitoring",Isha Bhiksha,2,Any,IT / Business Analyst IT / Data Analyst General / Researcher,,English (US)
Market Research,"Conduct research to analyze market trends, customer behavior, and competitive landscapes to provide actionable insights. Design surveys, gather data, and interpret findings to support strategic business decisions and marketing initiatives.",Inner Engineering Online - Market Research - 2674,"Conduct market analysis to gather insights into customer needs, competitor activities, and industry trends, informing business decisions.",Isha Programs and Communications / Inner Engineering Online,1,Any,IT / Data Analyst,,English (US)
Market Research,"Conduct research to analyze market trends, customer behavior, and competitive landscapes to provide actionable insights. Design surveys, gather data, and interpret findings to support strategic business decisions and marketing initiatives.",Sadhanapada - Market Research - 2708,"CCT - They will mainly support in running customer research projects across volunteering offerings - Sadhanapada, SSB, etc.
- They should be familiar with different reserach steps like buidling questionnaires, taking interviews and interview notes
- Have the ability to translate data from interviews conducted, researched data, metrics from data analysis into rich stories in a visually appealing way
- Excel and good PPT Skills needed
- Be able to think through the unstructured problems that we will solve across teams and be able execute the various steps in the research plan (Gather market intelligence, data from sub teams, analyze it, and then present the findings across teams in an actionable manner.)",Sadhanapada,2,Any,Corporate / Consultant,Soft Skills / Articulate in communication IT / Data Analyst General / Researcher,
Market Research,"Conduct research to analyze market trends, customer behavior, and competitive landscapes to provide actionable insights. Design surveys, gather data, and interpret findings to support strategic business decisions and marketing initiatives.",Sadhanapada - Market Research - 2709,"- Basic Excel and PPT Skills needed
- Be able to conduct desk research or 1:1 interviews, gather market intelligence, analyze it and then present the findings. 
- They will also need to collect data from a range of qualitative (e.g., customer feedback) and quantitative (e.g. syndicated reports) sources, often in a creative manner. 
Identify and collect relevant data points from online desk research, for example: Consumers: Demographics, buying habits, needs, etc.",Sadhanapada,1,Any,Corporate / Consultant,Soft Skills / Articulate in communication IT / Data Analyst Soft Skills / Soft-spoken and cordial,
Marketing Manager/ Executive,"Develop and implement marketing strategies and campaigns to enhance brand visibility, drive customer engagement, and achieve business objectives. Manage budgets, analyze market trends, and coordinate with teams to ensure successful execution of initiatives.",Isha Leadership Academy - Marketing Manager/ Executive - 2289,"Marketing 

Analyze marketing data to gather insights to help with marketing strategy. 
Advanced Excel, Attention to detail, Good analytical skills",Sadhguru Academy,1,Any,Soft Skills / Articulate in communication Emedia / Digital Marketing Corporate / Marketing & Branding Executive Corporate / Marketing & Branding Manager,,English (UK)
Marketing Manager/ Executive,"Develop and implement marketing strategies and campaigns to enhance brand visibility, drive customer engagement, and achieve business objectives. Manage budgets, analyze market trends, and coordinate with teams to ensure successful execution of initiatives.",Isha Health Solutions - Marketing Manager/ Executive - 2405,Sales and marketing,Isha Health Solutions,1,Any,Corporate / Sales Manager,,
Marketing Manager/ Executive,"Develop and implement marketing strategies and campaigns to enhance brand visibility, drive customer engagement, and achieve business objectives. Manage budgets, analyze market trends, and coordinate with teams to ensure successful execution of initiatives.",Isha Bhiksha - Marketing Manager/ Executive - 2516,"Conceptualise, plan, and ensure execution of engaging promotional campaigns for various Bhiksha retail offerings, across various channels, including digital, social media, email, and physical stalls or standees. Collaborate with Bhiksha, regional, and Emedia teams to reach the set marketing goals.",Isha Bhiksha,1,Any,Soft Skills / Articulate in communication Basic Computer Skills / Basic Computer (MS Office and Email) Skills Media and Communication / Creative Writer Corporate / Media Executive IT / Project Manager,,English (UK)
Marketing Manager/ Executive,"Develop and implement marketing strategies and campaigns to enhance brand visibility, drive customer engagement, and achieve business objectives. Manage budgets, analyze market trends, and coordinate with teams to ensure successful execution of initiatives.",Emedia Operations - Marketing Manager/ Executive - 2549,Experience with digital marketing and marketing overall. Having a passion to training individuals & digital teams on various topics. Preferably good academic background or long experience and willingness to share knowledge through training is a good indiciator of the potential candidate;,E-Media Panel / Emedia Operations,1,Any,Emedia / Digital Marketing Corporate / Marketing & Branding Executive Corporate / Marketing & Branding Manager,,
Marketing Manager/ Executive,"Develop and implement marketing strategies and campaigns to enhance brand visibility, drive customer engagement, and achieve business objectives. Manage budgets, analyze market trends, and coordinate with teams to ensure successful execution of initiatives.",Emedia Operations - Marketing Manager/ Executive - 2587,"5+ years experience in digital marketing and atleast 2+ years experience with tools like MoEngage / Clevertap, managing in-app campaigns. App experience is must",E-Media Panel / Emedia Operations,1,Any,Emedia / Digital Marketing,,
