Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Emedia Operations - Project Manager - 2580,Project Manager,"Proactive and detail-oriented role that will oversee the daily operations, governance and optimization of our social media activities. Utilize analytics tools to track performance metrics and optimize strategies accordingly. Maintain brand integrity and compliance with social media guidelines and policies.",E-Media Panel / Emedia Operations,NA,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - UI Designer - 2581,UI Designer,"UI/UX Designer 

Requirements - 
1. Industry experience as a product designer, preferably in a B2C space
2. Good communication skills
3. Analytical thinking",E-Media Panel / Emedia Operations,NA,Emedia / UX Designer,Emedia / UI Designer
Emedia Operations - Content Writer - 2582,Content Writer,"UX Writer / Content Designer

Bachelor's degree in English, Communications, Marketing, or a related field.
2-3 years of proven experience in UX writing, preferably for consumer-facing mobile applications.
Strong portfolio showcasing relevant work and a deep understanding of the impact of copy on user experience.
Proficiency in collaborating with cross-functional teams and adapting to agile development processes.
Excellent communication and interpersonal skills, with the ability to present and justify creative decisions.
Familiarity with A/B testing methodologies and a data-driven approach to optimizing copy.",E-Media Panel / Emedia Operations,NA,"Media and Communication / Content Writer,Media and Communication / Copywriter,Media and Communication / Creative Writer",NA
Emedia Operations - Business Analyst (BA) - 2583,Business Analyst (BA),"Requirements - 
Strong 3-5 year experience in analytics.
Experience in working on analytics for a mobile App. 
Proficiency in SQL, Excel and at least one visualization tool like tableau or qlikview.",E-Media Panel / Emedia Operations,NA,"IT / Business Analyst,IT / Data Analyst",NA
Emedia Operations - Content Strategist - 2584,Content Strategist,"3+ years of experience in marketing copywriting while driving user engagement.
Strong writing and editing skills, with a portfolio of writing samples",E-Media Panel / Emedia Operations,NA,"Media and Communication / Content Writer,Media and Communication / Copywriter,Media and Communication / Creative Writer",NA
Emedia Operations - Product Development - 2585,Product Development,"Requriements - 
1. Industry experience as a product manager for 5+ years, preferably in a B2C space
2. Excellent communication skills
3. Analytical thinking
4. Experience of working with end to end product lifecycle
5. Comfort with data analytics 
6. Comfort with Figma for wireframing / prototyping",E-Media Panel / Emedia Operations,NA,IT / Product Manager,NA
Emedia Operations - Customer Support Representatives - 2586,Customer Support Representatives,1-2 years experience in customer support,E-Media Panel / Emedia Operations,NA,Emedia / Active on Social Media,NA
Emedia Operations - Marketing Manager/ Executive - 2587,Marketing Manager/ Executive,"5+ years experience in digital marketing and atleast 2+ years experience with tools like MoEngage / Clevertap, managing in-app campaigns. App experience is must",E-Media Panel / Emedia Operations,NA,Emedia / Digital Marketing,NA
Emedia Operations - Growth Marketing Manager - 2588,Growth Marketing Manager,"5+ years experience in digital marketing and atleast 2+ years experience in App Growth - performance marketing, ASO, partnerships. B2C / App experience is must",E-Media Panel / Emedia Operations,NA,"Emedia / Digital Marketing,Corporate / Marketing & Branding Executive",NA
NP (Back Office) - Finance & Accounting Executive - 2589,Finance & Accounting Executive,"Support needed in the following aspects:
Coordination of all accounts activities between departments / regions and finance (foundation / project finance). Events to be supported include MSR, Lap of the Master, Conscious planet etc,
· Coordination between IYP/IE teachers & finance for their personal accounts & expenses.
· Support for refunds & cancellations
Turn on screen reader support",Isha Programs and Communications / NP (Back Office),NA,Accounting / Chartered Accountant,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
NP (Back Office) - Accountant - 2590,Accountant,Handling of accounts with various region account in-charges and ashram finance team,Isha Programs and Communications / NP (Back Office),NA,Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
NP (Back Office) - Finance & Accounting Executive - 2591,Finance & Accounting Executive,MSR Accounts activity support,Isha Programs and Communications / NP (Back Office),NA,Accounting / Basic Accountancy,Basic Computer Skills / Data Entry skills
NP (Back Office) - Finance & Accounting Executive - 2592,Finance & Accounting Executive,MSR Accounts Activity,Isha Programs and Communications / NP (Back Office),NA,Accounting / Chartered Accountant,Corporate / Financial & Accounting Manager
NP (Back Office) - Accountant - 2593,Accountant,MSR Accounts activity support in Data Entry,Isha Programs and Communications / NP (Back Office),NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Laundry - Administrative Activities (Back Office) - 2594,Administrative Activities (Back Office),"back office, supervising/monitoring and day to day activities",Laundry,"Tamil,English (UK)",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Laundry - Maintenance Support - 2595,Maintenance Support,"store ,laundry maintenance ,taking sevadhars attandence, washing &ironing support",Laundry,NA,Environment / Agriculture/ Farmer,NA
Livestream - Live Streaming Support - 2596,Live Streaming Support,"Computer skills, programming language - react, nginx, bash scripting, video",Livestream,NA,IT / Cloud Architect,Soft Skills / Articulate in communication
Isha Impressions - Illustrator - 2597,Illustrator,"· Proven work experience as an Illustrator with Animation skills. 
· Demonstrable portfolio of completed projects.
· Solid knowledge of image editing and digital sketching software, like After Effects, Photoshop or Procreate
· Drawing skills with an attention to detail (both by hand and digital pen)
· Strong aesthetic and conceptual skills
· Ability to collaborate and meet deadlines
· to be able to work to a brief, solve problems creatively and adapt their style
· creativity and imagination",Isha Impressions,English (UK),"Arts and Crafts / Digital Animator,Arts and Crafts / Illustrator",Arts and Crafts / Digital Animator
Middle School - Sanskrit Teacher - 2598,Sanskrit Teacher,"* Teach students the fundamentals of Sanskrit language, including pronunciation, grammar, vocabulary, and script.
* Introduce students to the Devanagari script and its application in reading and writing Sanskrit texts.
* Foster an understanding of the cultural and historical significance of Sanskrit language and literature within Indian civilization and world culture.
* Organize the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organize and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,"English (UK),Sanskrit",Education / Sanskrit Teacher,NA
Middle School - Tamil Teacher - 2599,Tamil Teacher,"""* Teach students the Tamil language and share information on Tamil culture.
* Instill a sense of appreciation for poetry and literature in students.
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,"English (UK),Tamil",Education / Tamil Teacher,NA
Middle School - Hindi Teacher - 2600,Hindi Teacher,"""* Teach students the Hindi language and share information on Hindi culture.
* Instill a sense of appreciation for poetry and literature in students.
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,"English (UK),Hindi / हिंदी",Education / Hindi Teacher,NA
Middle School - Class Teacher - Middle School - 2601,Class Teacher - Middle School,"""* Teach the following subjects of the MS curriculum - English & Social Studies- or - Math & Science
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to parents during parent visits 
* Coordinate activities and resources within a specific area of the curriculum, and support colleagues in the delivery of this specialist area
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,English (UK),Education / Primary Teacher,NA
Senior School - IHS - History teacher - 2603,History teacher,"* Plan lessons and develop curricula aligned to the prescribed syllabus
* Foster critical thinking, analytical skills, and civic engagement by encouraging students to analyze primary and secondary sources, evaluate evidence, and formulate well-reasoned arguments and opinions.
* Provide students with a broad understanding of historical events, political systems, economic principles, and their interconnectedness within local, national, and global contexts.
* Create a supportive and inclusive classroom environment that promotes respect for diverse perspectives, encourages open dialogue, and cultivates empathy and understanding for different cultures, societies, and viewpoints.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as historical documents, political speeches, economic data, and online databases, to enhance instruction, engage students, and facilitate inquiry-based learning.
* Assess student learning and progress through a variety of formative and summative assessments, including essays, projects, presentations, quizzes, tests, and discussions.
* Provide timely and constructive feedback to students to help them improve their writing, critical thinking, and analytical skills
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,NA,"Education / History Teacher,Education / Political Science Teacher",NA
Senior School - IHS - Environmental Science Teacher - 2605,Environmental Science Teacher,"""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Plan and conduct laboratory experiments, field investigations, and outdoor activities to help students develop scientific inquiry skills, understand environmental processes, and apply scientific principles to real-world issues.
* Provide clear explanations, examples, and demonstrations to help students grasp complex environmental concepts and principles and make connections between theory and real-world applications.
* Foster critical thinking, problem-solving skills, and a sense of environmental stewardship through hands-on activities, projects, and discussions.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as data visualization tools, GIS (Geographic Information Systems), and online databases, to enhance instruction, engage students, and facilitate learning about environmental science.
* Assess student learning and progress through a variety of formative and summative assessments, including quizzes, tests, laboratory reports, projects, and presentations.
* Provide timely and constructive feedback to students to help them understand their strengths and areas for improvement and guide their academic growth and development.
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,NA,Environment / Environment Science,NA
Senior School - IHS - Biology Teacher - 2606,Biology Teacher,"""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Plan and conduct laboratory experiments and investigations to help students develop experimental skills, understand scientific principles, and apply theoretical concepts in practical contexts.
* Provide clear explanations, examples, and demonstrations to help students grasp complex biological concepts and principles and make connections between theory and real-world applications.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as simulations, interactive multimedia, and online resources, to enhance instruction, engage students, and facilitate learning.
* Assess student learning and progress through a variety of formative and summative assessments, including quizzes, tests, laboratory reports, projects, and performance tasks.
* Provide timely and constructive feedback to students to help them understand their strengths and areas for improvement and guide their academic growth and development.
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,NA,Education / Biology Teacher,NA
Senior School - IHS - Chemistry Teacher - 2607,Chemistry Teacher,"""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Plan and conduct laboratory experiments and investigations to help students develop experimental skills, understand scientific principles, and apply theoretical concepts in practical contexts.
* Provide clear explanations, examples, and demonstrations to help students grasp complex chemical concepts and principles and make connections between theory and real-world applications.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as simulations, interactive multimedia, and online resources, to enhance instruction, engage students, and facilitate learning.
* Assess student learning and progress through a variety of formative and summative assessments, including quizzes, tests, laboratory reports, projects, and performance tasks.
* Provide timely and constructive feedback to students to help them understand their strengths and areas for improvement and guide their academic growth and development.
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,NA,Education / Chemistry Teacher,NA
Senior School - IHS - Science Teacher - 2608,Science Teacher,"Senior School - Physics Teacher
""* Set goals in terms of conceptual and process outcomes in accordance with the prescribed curriculum
* Foster critical thinking, problem-solving skills, and scientific inquiry through laboratory investigations, inquiry-based learning, and problem-solving exercises.
* Design and conduct laboratory experiments to help students understand and apply theoretical concepts, develop experimental skills, and analyze experimental data.
* Provide clear explanations, examples, and demonstrations to help students grasp complex scientific concepts and principles.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as simulations, interactive multimedia, and online resources, to enhance instruction, engage students, and facilitate learning.
* Assess student learning and progress through a variety of formative and summative assessments, including quizzes, tests, projects, and performance tasks.
* Provide timely and constructive feedback to students to help them understand their strengths and areas for improvement and guide their academic growth and development.
* Bring scientific news into the classroom
* Provide activities and opportunities for students to experience physics outside the classroom
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,NA,Education / Physics Teacher,NA
Senior School - IHS - English Teacher - 2609,English Teacher,"Senior School - English Teacher
""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Teach students fundamental language skills including reading, writing, speaking, and listening through a variety of instructional strategies and activities.
* Foster critical thinking, analytical skills, and creativity through the study and analysis of various literary genres, texts, and media.
* Grade tests, essays and reports, and other writing assignments, and provide timely and constructive feedback to students to support their academic growth and development.
* Differentiate instruction to meet the diverse learning needs, interests, and abilities of students, including those with special needs or English language learners.
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Improve and promote a reading culture 
* Support with school publications - newsletters, magazines, yearbook
* Perform miscellaneous job-related duties as assigned",Isha Home School / Senior School - IHS,NA,Education / English Teacher,NA
IT - Applications - Developer - 2610,Developer,"Python, Odoo, JavaScript,HTML,CSS,XML,React Native, React, Nodejs, Java, GoLang, Magento, PHP, FullStack",IT / IT - Applications,NA,IT / Developer,NA
IT - Applications - Test Engineer - 2611,Test Engineer,"QA, Manual Testing, SDET, Automation Testing, Celenium, TOSCA",IT / IT - Applications,NA,IT / Tester/ Quality Analyst,NA
Isha Home School - Communication/Soft skill Teacher - 2612,Communication/Soft skill Teacher,"""* Yearbook - writing, collating articles, images
* Social Media strategy, calendar and posting
* Internal event announcements (flyers and invitatons for art exhibit, sports day etc)
* Formulating parent communication based on inputs - monthly newsletter to parents with updates",Isha Home School,NA,Soft Skills / Articulate in communication,NA
IT - Applications - Business Analyst (BA) - 2613,Business Analyst (BA),"Business Analyst, Scrum Master, Systems Analyst, Project Manager",IT / IT - Applications,NA,IT / Business Analyst,NA
Senior School - IHS - Science Teacher - 2614,Science Teacher,"Senior School - Science Lab Assistant
""* Prepare laboratory materials, equipment, and supplies for science experiments and demonstrations according to teacher instructions and curriculum requirements.
* Set up and organize laboratory stations, work areas, and equipment for student use, ensuring safety protocols and procedures are followed at all times.
* Assist science teachers during laboratory sessions by providing technical support, demonstrating proper use of equipment, and troubleshooting any issues that arise.
* Monitor student behavior and ensure compliance with laboratory safety rules, procedures, and guidelines to prevent accidents and injuries.
* Maintain cleanliness and organization of the laboratory facilities, including storage areas, equipment, glassware, and chemical supplies.
* Dispose of hazardous materials, chemicals, and waste in accordance with established safety protocols and environmental regulations.
* Perform routine maintenance and calibration of laboratory equipment, instruments, and tools to ensure proper functioning and accuracy of measurements.
* Inventory and replenish laboratory supplies, chemicals, and materials as needed, and assist with ordering and procurement processes.
* Assist with the preparation and grading of laboratory reports, assignments, and assessments, as requested by science teachers.
* Provide support for special projects, events, and activities conducted in the science laboratory, such as science fairs, co-curriculars, experiment nights",Isha Home School / Senior School - IHS,NA,"Education / Chemistry Teacher,Education / Physics Teacher",NA
IT - Applications - Devops Engineer - 2615,Devops Engineer,"AWS, GCP, Azure, Jenkins, CI/CD, Terraform, CDN, Cloud Architect, Cyber Security",IT / IT - Applications,NA,IT / Devops Engineer,NA
Senior School - IHS - Science Teacher - 2616,Science Teacher,"Invention Lab / Maker Space Teacher
Makerspaces are designed to have student experiment with their school's curriculum, engage them in STEAM (science, technology, engineering, art, and mathematics) subjects, foster hands-on learning and collaboration, and provide opportunities to develop critical thinking, problem-solving, and creativity.",Isha Home School / Senior School - IHS,NA,Education / Physics Teacher,NA
IT - Applications - Artificial Intelligence (AI) Enthusiast - 2617,Artificial Intelligence (AI) Enthusiast,"AI, Machine Learning, NLP, Deep Learning,",IT / IT - Applications,NA,IT / Artificial Intelligence/ Machine Learning,NA
Isha Home School - Pottery Wheel Teacher - 2618,Pottery Wheel Teacher,Teach pottery to the students in the age group of 7 - 15,Isha Home School,NA,Education / Arts and Crafts Teacher,NA
Isha Home School - Fine Arts Teacher - 2619,Fine Arts Teacher,"Craft & design teacher.
Teach fine arts/crafts for children in the age group of 7-15",Isha Home School,NA,Education / Arts and Crafts Teacher,NA
Isha Home School - Swimming coach - 2620,Swimming coach,"""* Possess good language and interpersonal communication skills
* Ability to systematically demonstrate and teach the four basic swimming styles
* Teach groups of different ages and abilities, ranging from beginners to advanced
* Prepare students for and accompany students to competitions""",Isha Home School,NA,Education / Physical education teacher,NA
Isha Home School - Tennis coach - 2621,Tennis coach,"""* Instruct small groups of students of varying abilities
* Demonstrate and teach basic and advanced techniques
* Devise training plans for students and monitor progress
* Analyse students’ performance and guide student to enhance their overall skills
* Prepare students for and accompany students to competitions
* Possess good interpersonal communication skills""",Isha Home School,NA,Education / Physical education teacher,NA
Isha Home School - Allopathy Doctor - 2622,Allopathy Doctor,"Pediatrician
MBBS and Specialization in Pedeatrics",Isha Home School,NA,Medical / Allopathy Doctor,NA
Isha Home School - Singers / Instrumentalists / Musicians - 2624,Singers / Instrumentalists / Musicians,"Music Teacher - Western/World Music
""* Expose students, particularly in Junior & Middle School, to a diverse range of Western and World music genres, including classical, jazz, blues, folk, traditional, and contemporary styles from different cultures and regions.
* Teach students how to play a musical instrument(s) commonly used in Western and World music, such as guitar, piano, drums, percussion, strings, brass, woodwinds, or traditional instruments from various cultures.
* Provide basic vocal instruction, including techniques for proper breathing, posture, articulation, and expression, for students interested in singing Western and World music repertoire.
* Instruct students in the fundamental principles of music theory, including notation, rhythm, harmony, melody, and form.
* Foster students' creativity and musical expression through improvisation exercises and opportunities for original composition and arrangement in Western and World music styles.
* Explore the historical, cultural, and social contexts of Western and World music traditions, including significant composers, musicians, styles, movements, and influences from different time periods and regions.
* Cultivate students' appreciation for music by engaging them in active listening, critical thinking, and analytical discussions about musical works from diverse genres and cultural backgrounds.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.",Isha Home School,NA,Arts and Crafts / Musician,NA
Isha Home School - Violin Teacher - 2626,Violin Teacher,"Music Teacher - Carnatic Violin
""* Teach the fundamental techniques of playing the violin in the Carnatic music style, including posture, bowing techniques, finger positions, and intonation.
* Provide instruction on the intricacies of Carnatic music, including swara (notes), raga (melody), tala (rhythm), and compositions.
* Guide students in learning traditional Carnatic compositions, including varnams, krithis, and kritis, in various ragas.
* Offer lessons on improvisational aspects of Carnatic music, such as alapana, neraval, and kalpana swaram.
* Teach students to accompany vocalists and other instrumentalists, maintaining proper pitch, rhythm, and coordination.
* Provide personalized feedback and correction to students to improve their technique, tone quality, and musical expression.
* Teach students to understand and perform different talas (rhythmic cycles) commonly used in Carnatic music, such as Adi Talam, Rupakam, and Misra Chapu.
* Foster a supportive and encouraging learning environment that inspires students to develop their violin skills while deepening their appreciation for Carnatic music.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.
""",Isha Home School,NA,Arts and Crafts / Musician,NA
Isha Home School - Piano Teacher - 2627,Piano Teacher,"""* Instruct students in the fundamental techniques of playing the piano, including hand position, posture, finger dexterity, and coordination.
* Teach students music theory concepts relevant to piano playing, such as reading musical notation, understanding rhythm, harmony, scales, and chords.
*Assist students in selecting appropriate repertoire based on their skill level, interests, and goals. Introduce students to a variety of musical styles and genres, including classical, jazz, pop, and contemporary.
* Prepare students for performances, recitals, and examinations by providing guidance on stage presence, interpretation, expression, and overcoming performance anxiety.
* Offer constructive feedback and assessment to students on their playing technique, musicality, interpretation, and overall progress. Identify areas for improvement and develop strategies to help students overcome challenges.
* Help students develop effective practice routines and strategies to maximize their progress and achieve their musical goals. Provide guidance on practicing techniques, time management, goal setting, and self-assessment.
* Foster students' creativity and musical expression by encouraging improvisation, composition, and arranging. Provide opportunities for students to explore their own musical ideas and develop their unique artistic voice.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.",Isha Home School,NA,Arts and Crafts / Pianist,NA
Isha Home School - Tabla Teacher - 2628,Tabla Teacher,"Music Teacher - Tabla
""* Teach the fundamental techniques of playing the tabla, including hand positions, strokes, and rhythms.
* Provide instruction on the various bols (syllables) used in tabla playing and their application in different compositions and styles.
* Guide students in learning traditional tabla compositions such as the kaida, rela, gat, and tukra.
* Offer lessons on improvisational aspects of tabla playing, including layakari (rhythmic variations) and tihai (repetitive patterns).
* Teach students to understand and perform different taals (rhythmic cycles) commonly used in Hindustani classical music, such as Teental, Dadra, and Jhaptaal.
* Provide personalized feedback and correction to students to improve their technique, timing, and expression.
* Teach students to accompany other musicians, including vocalists and instrumentalists, in a variety of musical contexts.
* Prepare students for tabla examinations and performances, ensuring they are well-prepared and confident.
* Foster a supportive and encouraging learning environment that inspires students to explore and excel in tabla playing while nurturing their passion for Indian classical music.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.
""",Isha Home School,NA,Arts and Crafts / Tabla player,NA
Isha Home School - Singers / Instrumentalists / Musicians - 2629,Singers / Instrumentalists / Musicians,"Music Teacher - Hindustani
""* Teach the fundamentals of Hindustani classical music, including swara (notes), raga (melody), tala (rhythm), and compositions.
* Provide instruction on vocal techniques, such as voice modulation, breath control, and articulation.
* Guide students in learning traditional Hindustani compositions like bandish, thumri, khayal, and bhajan.
* Offer lessons on improvisational aspects of Hindustani music, such as taans, sargams, and alaap.
* Provide personalized feedback and correction to students to improve their singing abilities.
* Teach students to accompany themselves on the harmonium.
* Prepare students for music examinations (ICSE or otherwise) and performances, ensuring they are confident and well-prepared.
* Instill an appreciation for the rich cultural heritage and traditions associated with Hindustani music.
* Foster a supportive and encouraging learning environment that motivates students to explore and develop their musical talents.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.",Isha Home School,NA,Arts and Crafts / Musician,NA
Isha Home School - Carnatic Music Teacher - 2630,Carnatic Music Teacher,"""* Teach the fundamentals of Carnatic music, including swara (notes), raga (melody), tala (rhythm), and compositions.
* Provide instruction on vocal techniques, such as voice modulation, breath control, and pronunciation.
* Guide students in learning varnams, krithis, and other traditional compositions in various ragas.
* Offer lessons on improvisational aspects of Carnatic music, such as alapana, neraval, and kalpana swaram.
* Provide personalized feedback and correction to students to improve their singing abilities.
* Prepare students for music examinations (ICSE or otherwise) and performances, ensuring they are confident and well-prepared.
* Instill an appreciation for the rich cultural heritage and traditions associated with Carnatic music.
* Foster a positive and encouraging learning environment that inspires students to develop their musical skills and creativity.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.
""",Isha Home School,NA,Arts and Crafts / Musician,NA
IT - Applications - Administrative Activities (Back Office) - 2631,Administrative Activities (Back Office),"Office Assistant, Vouchers, Basic Computer Skills, Excel",IT / IT - Applications,NA,Office Assistant / Admin Assistant,NA
Temple - Linga Bhairavi - Maintenance Support - 2632,Maintenance Support,"Temple support such as taking care of daily ritual (kleshanashna kriya and Prahar valikku), general volunteer management, special occasion support (navratri, thaipusum and MSR) and daily temple maintenance and functioning support and facilitating Devi sevakas.",Temple - Linga Bhairavi,"English (US),Tamil,Hindi / हिंदी,Telugu / తెలుగు","Others / Army,Basic Computer Skills / Basic Computer (MS Office and Email) Skills","Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Data Entry skills,Arts and Crafts / Video Editor"
Temple - Linga Bhairavi - Rituals - 2633,Rituals,"daily ritual assistance (12 ritual per day), abishekam preparation (3 times a day ) and store activity",Temple - Linga Bhairavi,"English (US),Tamil,Telugu / తెలుగు,Hindi / हिंदी",Soft Skills / Articulate in communication,NA
Temple - Linga Bhairavi - Front Office Activities - 2634,Front Office Activities,"sending mails,preparing xcel sheets,communicating with participants",Temple - Linga Bhairavi,"English (US),Tamil,Telugu / తెలుగు,Hindi / हिंदी",Soft Skills / Articulate in communication,Soft Skills / Articulate in communication
Temple - Linga Bhairavi - On ground Support - 2638,On ground Support,supporting in linga bhairavi temple stall-2,Temple - Linga Bhairavi,"English (US),Tamil,Hindi / हिंदी,Telugu / తెలుగు",Soft Skills / Fit for Physical Seva,NA
Temple - Linga Bhairavi - On ground Support - 2639,On ground Support,supporting linga bhairavi stall-3,Temple - Linga Bhairavi,"English (US),Tamil,Hindi / हिंदी,Telugu / తెలుగు",Soft Skills / Fit for Physical Seva,NA
Temple - Linga Bhairavi - Crafts Teacher - 2640,Crafts Teacher,mala making,Temple - Linga Bhairavi,"English (US),Tamil,Hindi / हिंदी,Telugu / తెలుగు",Arts and Crafts / Actor,NA
Isha Bhiksha - Market Research - 2641,Market Research,"Market Research Executive: Conduct market research, data collection and analysis, program evaluation, identifying opportunities, present research findings, monitoring",Isha Bhiksha,English (US),"IT / Business Analyst,IT / Data Analyst,General / Researcher",NA
Isha Bhiksha - Sales Manager/ Executive - 2642,Sales Manager/ Executive,"Fundraising Sales Support - Tele-calling, Sales op coordination with Isha regional volunteers, follow up/ update trackers",Isha Bhiksha,English (US),"Emedia / Active on Social Media,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills",NA
IT - Applications - ERP Consultant - 2643,ERP Consultant,"ERP Consultant, Salesforce, SAP, Odoo",IT / IT - Applications,NA,IT / ERP Consultant,NA
IT - Applications - Technical Support - 2644,Technical Support,"Application Support, Technical Support, Helping with Collaboration tools, organising technical meetings, interacting with PMs about requirements, POCs",IT / IT - Applications,NA,IT / Technical Support,NA
IT - Applications - Product Manager - 2645,Product Manager,"Product Manager, Entrepreneur, Project Manager",IT / IT - Applications,NA,IT / Product Manager,NA
Local welfare - Teacher - Others - 2646,Teacher - Others,we need to teach the spoken English class & government exam training & time management etc for the local village scholarship students,Outreach / Local welfare,NA,Education / English Teacher,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
